CO_IES,NO_IES,SG_IES,NO_MUNICIPIO_IES,SG_UF_IES,TP_CATEGORIA_ADMINISTRATIVA,QT_DOC_EX_DOUT,QT_DOC_EX_MEST,nome_ies_padronizado,total_bolsas_cnpq,ADC - Apoio à Difusão do Conhecimento,AED - Auxílio a Editoração e Publicação,APQ - Auxílio a Pesquisa,ARC - Promoção de Eventos Científicos,AT - Apoio Técnico a Pesquisa,ATP - Apoio Técnico em Extensão no País ,DCR - Desenvolvimento Cientifico Regional,DES - Desenvolvimento Tecnológico e Inovação ,DT - Produtividade Desen. Tec. e Extensão ,DTC - Desenvolvimento Tecnológico em TICs,DTI - Desenvolvimento Tecnológico Industrial,EPI - Bolsa de Treinamento - Programa ,EV - Especialista Visitante,EXP - Extensão no País,GD - Doutorado,GDE - Doutorado no Exterior,GM - Mestrado,IC - Iniciação Científica,ICJ - Iniciação Científica Júnior,IEX - Iniciação ao Extensionismo,IT - Iniciação Tecnológica,ITC - Iniciação Tecnológica em TICs,ITI - Iniciação Tecnológica e Industrial,PAV - Bolsa Pesquisador-Avaliador,PCI - Programa de Capacitação Institucional,PDE - Pós-doutorado no Exterior,PDI - Pos-doutorado Empresarial,PDJ - Pós-doutorado Júnior,PDS - Pós-doutorado Sênior,PQ - Produtividade em Pesquisa,PV - Pesquisador Visitante,SET - Fixação de Recursos Humanos,SWE - Doutorado Sanduíche no Exterior,SWP - Doutorado-Sanduiche no Pais
55,UNIVERSIDADE DE SÃO PAULO,USP,São Paulo,SP,2,5546,51,universidade de sao paulo,3950,2,10,31,0,52,5,0,0,9,1,212,0,1,4,683,0,472,1366,256,1,88,2,30,1,0,0,0,46,21,648,4,4,0,1
56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,São Paulo,SP,2,2997,20,universidade estadual paulista julio de mesquita filho,2368,20,5,13,0,20,9,0,0,6,0,52,0,0,7,235,0,244,968,374,1,53,0,23,0,0,0,0,39,4,295,0,0,0,0
57,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Maringá,PR,2,1282,180,universidade estadual de maringa,878,0,5,5,0,18,0,0,0,4,6,8,0,0,0,91,0,82,362,44,0,64,0,4,0,0,0,0,22,0,158,0,5,0,0
58,FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO,FDSBC,São Bernardo do Campo,SP,7,42,12,faculdade de direito de sao bernardo do campo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,FACULDADE DE DIREITO DE FRANCA,FDF,Franca,SP,3,19,17,faculdade de direito de franca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA,UNI-FACEF,Franca,SP,7,64,91,centro universitario municipal de franca,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
67,ESCOLA DE ENGENHARIA DE PIRACICABA,EEP/FUMEP,Piracicaba,SP,3,35,42,escola de engenharia de piracicaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS,FAFIPE,Penápolis,SP,5,49,33,faculdade de filosofia ciencias e letras de penapolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Mossoró,RN,2,483,313,universidade do estado do rio grande do norte,202,0,0,1,0,1,1,0,0,0,0,1,0,0,0,6,0,8,96,66,0,12,1,2,0,0,0,0,0,0,7,0,0,0,0
72,FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL,FAMASUL,Palmares,PE,7,2,6,faculdade de formacao de professores da mata sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
